t1_2_3_6_7_s3_r,state,county
90.96,AL,Autauga County
84.78,AL,Baldwin County
64.75,AL,Barbour County
51.339999999999996,AL,Bibb County
76.7,AL,Blount County
61.96,AL,Bullock County
61.129999999999995,AL,Butler County
92.02,AL,Calhoun County
77.66999999999999,AL,Chambers County
76.64,AL,Cherokee County
63.72,AL,Chilton County
54.36,AL,Choctaw County
51.61,AL,Clarke County
40.93,AL,Clay County
26.51,AL,Cleburne County
75.47,AL,Coffee County
80.16,AL,Colbert County
41.08,AL,Conecuh County
70.88,AL,Coosa County
81.6,AL,Covington County
58.45,AL,Crenshaw County
77.51,AL,Cullman County
77.86999999999999,AL,Dale County
69.19,AL,Dallas County
88.79,AL,DeKalb County
91.72,AL,Elmore County
74.53,AL,Escambia County
91.19,AL,Etowah County
42.5,AL,Fayette County
54.059999999999995,AL,Franklin County
70.02000000000001,AL,Geneva County
31.759999999999998,AL,Greene County
42.11,AL,Hale County
51.11,AL,Henry County
87.76,AL,Houston County
87.82,AL,Jackson County
95.41,AL,Jefferson County
90.75999999999999,AL,Lamar County
82.91,AL,Lauderdale County
84.47,AL,Lawrence County
94.56,AL,Lee County
85.48,AL,Limestone County
31.569999999999997,AL,Lowndes County
61.72,AL,Macon County
97.94,AL,Madison County
69.07,AL,Marengo County
99.53,AL,Marion County
89.86,AL,Marshall County
93.41000000000001,AL,Mobile County
79.47999999999999,AL,Monroe County
83.45,AL,Montgomery County
84.83000000000001,AL,Morgan County
30.59,AL,Perry County
47.03,AL,Pickens County
71.77,AL,Pike County
42.120000000000005,AL,Randolph County
85.11,AL,Russell County
91.35,AL,St. Clair County
90.59,AL,Shelby County
40.339999999999996,AL,Sumter County
80.5,AL,Talladega County
86.18,AL,Tallapoosa County
90.83,AL,Tuscaloosa County
74.11999999999999,AL,Walker County
35.38,AL,Washington County
35.23,AL,Wilcox County
50.64999999999999,AL,Winston County
0.0,AK,Aleutians East Borough
0.0,AK,Aleutians West Census Area
98.16,AK,Anchorage Municipality
1.79,AK,Bethel Census Area
0.0,AK,Bristol Bay Borough
97.34,AK,Chugach Census Area
71.44,AK,Copper River Census Area
7.46,AK,Denali Borough
0.0,AK,Dillingham Census Area
80.94,AK,Fairbanks North Star Borough
6.16,AK,Haines Borough
39.22,AK,Hoonah-Angoon Census Area
97.76,AK,Juneau City and Borough
86.95,AK,Kenai Peninsula Borough
98.37,AK,Ketchikan Gateway Borough
71.59,AK,Kodiak Island Borough
0.0,AK,Kusilvak Census Area
0.0,AK,Lake and Peninsula Borough
73.08,AK,Matanuska-Susitna Borough
45.67,AK,Nome Census Area
73.18,AK,North Slope Borough
37.62,AK,Northwest Arctic Borough
92.96,AK,Petersburg Borough
12.23,AK,Prince of Wales-Hyder Census Area
95.47,AK,Sitka City and Borough
6.63,AK,Skagway Municipality
65.05,AK,Southeast Fairbanks Census Area
84.39,AK,Wrangell City and Borough
0.0,AK,Yakutat City and Borough
5.6899999999999995,AK,Yukon-Koyukuk Census Area
48.33,AZ,Apache County
93.24,AZ,Cochise County
84.58,AZ,Coconino County
82.86,AZ,Gila County
90.03,AZ,Graham County
91.13,AZ,Greenlee County
73.77,AZ,La Paz County
99.63,AZ,Maricopa County
88.19,AZ,Mohave County
71.08,AZ,Navajo County
99.46000000000001,AZ,Pima County
95.53,AZ,Pinal County
92.55,AZ,Santa Cruz County
93.08,AZ,Yavapai County
95.02000000000001,AZ,Yuma County
49.08,AR,Arkansas County
68.61,AR,Ashley County
96.58,AR,Baxter County
92.36,AR,Benton County
88.69,AR,Boone County
71.89999999999999,AR,Bradley County
88.19,AR,Calhoun County
96.78,AR,Carroll County
72.99,AR,Chicot County
90.16999999999999,AR,Clark County
87.21,AR,Clay County
65.09,AR,Cleburne County
0.27999999999999997,AR,Cleveland County
60.29,AR,Columbia County
60.529999999999994,AR,Conway County
98.1,AR,Craighead County
98.03,AR,Crawford County
