Diabetes Prevalence,Without Health Insurance (BRFSS),Annual Checkup,Poor Mental Health,Obesity Prevalence,Education < 9th,Education 9-12 No Diploma,High School Diploma,Associate Degree,Aged 65 and Over,Unemployed,In Poverty,Households with No Vehicle,Rural,Broadband Internet Subscription,Broadband Internet Structural Availability
12.6,16.9,60.7,12.9,31.3,6.1,9.2,41.6,5.4,11.7,3.5,13.4,24.0,1,57.5,0.0
10.9,13.7,61.6,12.2,30.3,4.8,4.1,43.4,5.8,7.0,3.1,8.3,14.2,1,77.0,0.0
7.8,10.4,62.9,14.5,32.9,2.2,3.7,23.7,8.6,11.5,3.6,9.1,5.5,0,92.7,100.0
15.9,19.2,62.6,21.4,43.1,6.9,11.2,46.6,4.5,7.5,11.3,28.5,60.1,0,74.8,1.79
8.6,10.3,61.4,15.4,35.6,3.0,2.3,30.2,8.7,13.1,1.6,3.5,9.8,1,76.5,0.0
7.3,9.8,61.1,14.6,31.4,0.9,3.7,23.3,11.0,13.5,2.3,4.1,4.5,0,88.9,100.0
8.6,11.8,61.4,16.0,34.9,2.1,3.8,35.2,4.9,14.5,4.5,11.4,7.5,0,74.8,100.0
8.3,10.1,61.7,15.0,27.6,0.4,1.2,30.4,7.6,11.8,2.0,15.7,4.7,1,84.0,100.0
13.3,15.4,59.0,19.0,40.7,5.4,8.1,39.9,5.8,11.2,7.7,18.0,35.2,1,74.4,0.0
8.0,10.1,62.3,14.5,33.9,1.9,3.7,25.6,9.4,11.1,3.7,6.4,4.8,0,88.4,99.82
8.8,11.2,58.5,16.6,32.3,0.5,1.8,39.4,1.0,20.9,2.3,16.7,6.5,1,84.1,100.0
10.0,12.4,63.0,16.9,38.6,0.8,5.4,36.5,10.0,22.9,9.6,8.8,34.4,1,59.4,100.0
7.2,9.2,65.4,14.4,30.9,1.2,3.4,21.0,8.8,13.9,3.3,7.2,8.4,0,92.0,100.0
8.0,10.8,59.5,15.9,31.4,1.7,4.4,30.9,8.6,17.9,4.7,11.9,5.5,0,85.0,100.0
8.4,10.8,61.7,15.3,33.3,1.3,4.7,28.9,7.3,16.0,3.1,9.4,11.6,0,87.6,99.92999999999999
8.8,11.3,63.4,13.8,30.0,5.1,4.4,28.2,9.4,11.4,3.7,7.8,10.7,0,89.6,71.59
19.6,23.0,61.7,24.6,48.8,4.6,15.8,55.6,2.3,5.9,14.1,36.6,88.2,0,70.0,0.0
12.0,13.6,61.9,18.0,39.6,4.6,6.2,40.7,6.6,9.9,10.9,15.7,44.5,1,66.1,14.64
