Variable,Coef,Std Err,t,CI Lower,CI Upper
const,80.491,0.087,921.731,80.319,80.662
bb_int_struct,0.064,0.008,7.962,0.048,0.08
pct_sex_male,0.058,0.056,1.043,-0.051,0.167
pct_ed_9_12,0.055,0.098,0.561,-0.137,0.247
pct_ed_hs,0.17,0.061,2.795,0.051,0.288
pct_ed_sc,0.32,0.057,5.587,0.208,0.432
pct_ed_asc,0.354,0.076,4.685,0.206,0.502
pct_ed_b,0.43,0.066,6.516,0.301,0.56
pct_ed_gr,0.43,0.069,6.254,0.296,0.565
pct_race_white,-0.117,0.046,-2.546,-0.207,-0.027
pct_race_black,-0.184,0.046,-4.034,-0.274,-0.095
pct_race_aian,-0.189,0.056,-3.386,-0.298,-0.08
pct_race_asian,0.044,0.066,0.665,-0.085,0.172
pct_race_nhopi,-0.455,0.195,-2.34,-0.837,-0.074
pct_race_other,-0.073,0.073,-0.997,-0.216,0.07
pct_occ_mgt,0.48,1.373,0.349,-2.212,3.171
pct_occ_svc,0.531,1.378,0.385,-2.17,3.231
pct_occ_sales,0.597,1.381,0.432,-2.11,3.304
pct_occ_nat_res,0.502,1.38,0.364,-2.202,3.206
pct_occ_prod,0.527,1.379,0.382,-2.175,3.229
pct_ses_pov,-0.322,0.031,-10.521,-0.382,-0.262
ruca_micro,-1.516,0.244,-6.206,-1.994,-1.037
ruca_small_town,-2.4,0.295,-8.127,-2.979,-1.822
ruca_rural,-4.523,0.44,-10.27,-5.386,-3.66
